category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: CONVERGING,---,---,---,---,---
converging,cmp_corridor_illusion.jpg,orig,1,22080,177.83,0.0
converging,cmp_corridor_illusion.jpg,v1,1,22080,44.88,0.0
converging,cmp_corridor_illusion.jpg,v2,1,22080,32.26,0.0
converging,cmp_corridor_illusion.jpg,v3,1,22080,93.12,0.0
converging,cmp_corridor_illusion.jpg,orig,2,23750,180.37,2.54
converging,cmp_corridor_illusion.jpg,v1,2,23750,145.22,100.34
converging,cmp_corridor_illusion.jpg,v2,2,23750,150.83,118.57
converging,cmp_corridor_illusion.jpg,v3,2,23750,212.9,119.78
converging,cmp_figure_ground.png,orig,1,930,254.0,0.0
converging,cmp_figure_ground.png,v1,1,930,148.16,0.0
converging,cmp_figure_ground.png,v2,1,930,127.01,0.0
converging,cmp_figure_ground.png,v3,1,930,43.59,0.0
converging,cmp_figure_ground.png,orig,2,1404,0.0,254.0
converging,cmp_figure_ground.png,v1,2,1404,36.8,111.36
converging,cmp_figure_ground.png,v2,2,1404,0.16,126.85
converging,cmp_figure_ground.png,v3,2,1404,56.88,13.29
converging,cmp_kanizsa_triangle.png,orig,1,64220,102.39,0.0
converging,cmp_kanizsa_triangle.png,v1,1,64220,211.29,0.0
converging,cmp_kanizsa_triangle.png,v2,1,64220,203.96,0.0
converging,cmp_kanizsa_triangle.png,v3,1,64220,135.85,0.0
converging,cmp_kanizsa_triangle.png,orig,2,988,255.0,152.61
converging,cmp_kanizsa_triangle.png,v1,2,988,255.0,43.71
converging,cmp_kanizsa_triangle.png,v2,2,988,76.27,127.69
converging,cmp_kanizsa_triangle.png,v3,2,988,74.04,61.81
converging,cmp_kanizsa_triangle.png,orig,3,73392,89.47,0.0
converging,cmp_kanizsa_triangle.png,v1,3,73392,255.0,0.0
converging,cmp_kanizsa_triangle.png,v2,3,73392,51.55,0.0
converging,cmp_kanizsa_triangle.png,v3,3,73392,31.03,0.0
converging,cmp_ponzo.jpg,orig,1,6512,208.38,0.0
converging,cmp_ponzo.jpg,v1,1,6512,192.46,0.0
converging,cmp_ponzo.jpg,v2,1,6512,194.66,0.0
converging,cmp_ponzo.jpg,v3,1,6512,216.26,0.0
converging,cmp_ponzo.jpg,orig,2,6960,194.09,14.29
converging,cmp_ponzo.jpg,v1,2,6960,25.15,167.31
converging,cmp_ponzo.jpg,v2,2,6960,26.44,168.22
converging,cmp_ponzo.jpg,v3,2,6960,75.34,140.92
---,CATEGORY: DEPTH_AMBIGUITY,---,---,---,---,---
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,1,12816,56.79,0.0
depth_ambiguity,cmp_dazzle_camouflage.jpg,v1,1,12816,81.69,0.0
depth_ambiguity,cmp_dazzle_camouflage.jpg,v2,1,12816,100.35,0.0
depth_ambiguity,cmp_dazzle_camouflage.jpg,v3,1,12816,204.81,0.0
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,2,2200,96.34,39.55
depth_ambiguity,cmp_dazzle_camouflage.jpg,v1,2,2200,30.06,51.63
depth_ambiguity,cmp_dazzle_camouflage.jpg,v2,2,2200,58.96,41.39
depth_ambiguity,cmp_dazzle_camouflage.jpg,v3,2,2200,151.79,53.02
depth_ambiguity,cmp_Eiffel_tower.png,orig,1,735,127.91,0.0
depth_ambiguity,cmp_Eiffel_tower.png,v1,1,735,16.0,0.0
depth_ambiguity,cmp_Eiffel_tower.png,v2,1,735,33.95,0.0
depth_ambiguity,cmp_Eiffel_tower.png,v3,1,735,57.42,0.0
depth_ambiguity,cmp_Eiffel_tower.png,orig,2,11100,67.63,60.28
depth_ambiguity,cmp_Eiffel_tower.png,v1,2,11100,145.98,129.98
depth_ambiguity,cmp_Eiffel_tower.png,v2,2,11100,89.15,55.2
depth_ambiguity,cmp_Eiffel_tower.png,v3,2,11100,220.06,162.64
depth_ambiguity,cmp_necker_cube.jpg,orig,1,5643,255.0,0.0
depth_ambiguity,cmp_necker_cube.jpg,v1,1,5643,211.35,0.0
depth_ambiguity,cmp_necker_cube.jpg,v2,1,5643,19.13,0.0
depth_ambiguity,cmp_necker_cube.jpg,v3,1,5643,146.91,0.0
depth_ambiguity,cmp_necker_cube.jpg,orig,2,4756,255.0,0.0
depth_ambiguity,cmp_necker_cube.jpg,v1,2,4756,150.23,61.12
depth_ambiguity,cmp_necker_cube.jpg,v2,2,4756,3.79,15.34
depth_ambiguity,cmp_necker_cube.jpg,v3,2,4756,98.94,47.97
depth_ambiguity,cmp_necker_cube.jpg,orig,3,4992,255.0,0.0
depth_ambiguity,cmp_necker_cube.jpg,v1,3,4992,157.68,0.0
depth_ambiguity,cmp_necker_cube.jpg,v2,3,4992,13.05,0.0
depth_ambiguity,cmp_necker_cube.jpg,v3,3,4992,97.01,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,1,15075,209.54,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,v1,1,15075,151.84,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,v2,1,15075,144.35,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,v3,1,15075,213.45,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,2,14400,210.0,0.46
depth_ambiguity,cmp_schroeder_stairs.jpg,v1,2,14400,106.96,44.88
depth_ambiguity,cmp_schroeder_stairs.jpg,v2,2,14400,93.74,50.61
depth_ambiguity,cmp_schroeder_stairs.jpg,v3,2,14400,184.03,29.42
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,3,21024,191.74,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,v1,3,21024,151.26,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,v2,3,21024,121.96,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,v3,3,21024,184.65,0.0
depth_ambiguity,cmp_sun_silhouette.jpeg,orig,1,7743,193.12,0.0
depth_ambiguity,cmp_sun_silhouette.jpeg,v1,1,7743,25.87,0.0
depth_ambiguity,cmp_sun_silhouette.jpeg,v2,1,7743,29.76,0.0
depth_ambiguity,cmp_sun_silhouette.jpeg,v3,1,7743,85.55,0.0
depth_ambiguity,cmp_sun_silhouette.jpeg,orig,2,6600,1.05,192.07
depth_ambiguity,cmp_sun_silhouette.jpeg,v1,2,6600,115.05,89.18
depth_ambiguity,cmp_sun_silhouette.jpeg,v2,2,6600,98.09,68.33
depth_ambiguity,cmp_sun_silhouette.jpeg,v3,2,6600,127.57,42.02
---,CATEGORY: FORCED_PERSPECTIVE,---,---,---,---,---
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,1,17052,76.35,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v1,1,17052,33.59,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v2,1,17052,41.66,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v3,1,17052,91.27,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,2,8928,68.8,7.55
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v1,2,8928,5.36,28.23
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v2,2,8928,14.42,27.24
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v3,2,8928,39.52,51.75
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,3,14272,65.89,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v1,3,14272,16.73,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v2,3,14272,29.47,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v3,3,14272,65.99,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,4,14694,73.36,7.47
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v1,4,14694,13.74,2.99
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v2,4,14694,27.09,2.38
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v3,4,14694,51.73,14.26
forced_perspective,cmp_anamorphic_hole.jpeg,orig,1,18468,163.51,0.0
forced_perspective,cmp_anamorphic_hole.jpeg,v1,1,18468,108.9,0.0
forced_perspective,cmp_anamorphic_hole.jpeg,v2,1,18468,106.11,0.0
forced_perspective,cmp_anamorphic_hole.jpeg,v3,1,18468,239.34,0.0
forced_perspective,cmp_anamorphic_hole.jpeg,orig,2,11817,208.89,45.38
forced_perspective,cmp_anamorphic_hole.jpeg,v1,2,11817,74.03,34.87
forced_perspective,cmp_anamorphic_hole.jpeg,v2,2,11817,92.3,13.81
forced_perspective,cmp_anamorphic_hole.jpeg,v3,2,11817,241.81,2.47
forced_perspective,cmp_Beuchet_chair.jpg,orig,1,55624,109.62,0.0
forced_perspective,cmp_Beuchet_chair.jpg,v1,1,55624,105.32,0.0
forced_perspective,cmp_Beuchet_chair.jpg,v2,1,55624,87.52,0.0
forced_perspective,cmp_Beuchet_chair.jpg,v3,1,55624,142.79,0.0
forced_perspective,cmp_Beuchet_chair.jpg,orig,2,4454,93.84,15.78
forced_perspective,cmp_Beuchet_chair.jpg,v1,2,4454,114.79,9.47
forced_perspective,cmp_Beuchet_chair.jpg,v2,2,4454,116.32,28.8
forced_perspective,cmp_Beuchet_chair.jpg,v3,2,4454,157.11,14.32
forced_perspective,cmp_Beuchet_chair.jpg,orig,3,5618,71.01,0.0
forced_perspective,cmp_Beuchet_chair.jpg,v1,3,5618,26.94,0.0
forced_perspective,cmp_Beuchet_chair.jpg,v2,3,5618,35.12,0.0
forced_perspective,cmp_Beuchet_chair.jpg,v3,3,5618,55.58,0.0
forced_perspective,cmp_Beuchet_chair.jpg,orig,4,4104,55.87,15.14
forced_perspective,cmp_Beuchet_chair.jpg,v1,4,4104,54.76,27.82
forced_perspective,cmp_Beuchet_chair.jpg,v2,4,4104,48.32,13.2
