category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: CORRIDOR_ILLUSION,---,---,---,---,---
Corridor_Illusion,cmp_base_image.png,orig,1,24375,179.62,0.0
Corridor_Illusion,cmp_base_image.png,v1,1,24375,138.56,0.0
Corridor_Illusion,cmp_base_image.png,v2,1,24375,146.99,0.0
Corridor_Illusion,cmp_base_image.png,v3,1,24375,211.56,0.0
Corridor_Illusion,cmp_base_image.png,orig,2,23124,176.75,2.87
Corridor_Illusion,cmp_base_image.png,v1,2,23124,43.89,94.67
Corridor_Illusion,cmp_base_image.png,v2,2,23124,33.84,113.15
Corridor_Illusion,cmp_base_image.png,v3,2,23124,90.85,120.71
Corridor_Illusion,cmp_cube_walls.jpg,orig,1,22506,171.58,0.0
Corridor_Illusion,cmp_cube_walls.jpg,v1,1,22506,207.33,0.0
Corridor_Illusion,cmp_cube_walls.jpg,v2,1,22506,198.7,0.0
Corridor_Illusion,cmp_cube_walls.jpg,v3,1,22506,219.18,0.0
Corridor_Illusion,cmp_cube_walls.jpg,orig,2,22800,172.23,0.65
Corridor_Illusion,cmp_cube_walls.jpg,v1,2,22800,61.8,145.53
Corridor_Illusion,cmp_cube_walls.jpg,v2,2,22800,54.94,143.76
Corridor_Illusion,cmp_cube_walls.jpg,v3,2,22800,171.31,47.87
Corridor_Illusion,cmp_cylinder_pattern.png,orig,1,22500,151.53,0.0
Corridor_Illusion,cmp_cylinder_pattern.png,v1,1,22500,132.96,0.0
Corridor_Illusion,cmp_cylinder_pattern.png,v2,1,22500,119.19,0.0
Corridor_Illusion,cmp_cylinder_pattern.png,v3,1,22500,213.13,0.0
Corridor_Illusion,cmp_cylinder_pattern.png,orig,2,22320,150.82,0.71
Corridor_Illusion,cmp_cylinder_pattern.png,v1,2,22320,43.68,89.28
Corridor_Illusion,cmp_cylinder_pattern.png,v2,2,22320,28.76,90.43
Corridor_Illusion,cmp_cylinder_pattern.png,v3,2,22320,86.14,126.99
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,orig,1,22869,150.14,0.0
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,v1,1,22869,132.95,0.0
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,v2,1,22869,133.15,0.0
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,v3,1,22869,211.25,0.0
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,orig,2,22204,148.59,1.55
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,v1,2,22204,41.39,91.56
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,v2,2,22204,32.79,100.36
Corridor_Illusion,cmp_cylinder_pattern_bordered.png,v3,2,22204,88.69,122.56
Corridor_Illusion,cmp_high-low_filter.png,orig,1,23160,232.86,0.0
Corridor_Illusion,cmp_high-low_filter.png,v1,1,23160,113.24,0.0
Corridor_Illusion,cmp_high-low_filter.png,v2,1,23160,108.94,0.0
Corridor_Illusion,cmp_high-low_filter.png,v3,1,23160,83.56,0.0
Corridor_Illusion,cmp_high-low_filter.png,orig,2,21840,207.0,25.86
Corridor_Illusion,cmp_high-low_filter.png,v1,2,21840,40.95,72.29
Corridor_Illusion,cmp_high-low_filter.png,v2,2,21840,23.42,85.52
Corridor_Illusion,cmp_high-low_filter.png,v3,2,21840,97.13,13.57
Corridor_Illusion,cmp_high_pass.png,orig,1,35728,236.3,0.0
Corridor_Illusion,cmp_high_pass.png,v1,1,35728,147.94,0.0
