category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: CONVERGING,---,---,---,---,---
converging,cmp_corridor_illusion.jpg,orig,1,3100,162.16,0.0
converging,cmp_corridor_illusion.jpg,midas,1,3100,158.98,0.0
converging,cmp_corridor_illusion.jpg,orig,2,3354,175.4,13.24
converging,cmp_corridor_illusion.jpg,midas,2,3354,48.07,110.91
converging,cmp_kanizsa_triangle.png,orig,1,1170,9.0,0.0
converging,cmp_kanizsa_triangle.png,midas,1,1170,255.0,0.0
converging,cmp_kanizsa_triangle.png,orig,2,989,255.0,246.0
converging,cmp_kanizsa_triangle.png,midas,2,989,255.0,0.0
converging,cmp_ponzo.jpg,orig,1,1260,211.57,0.0
converging,cmp_ponzo.jpg,midas,1,1260,168.95,0.0
converging,cmp_ponzo.jpg,orig,2,1440,210.08,1.49
converging,cmp_ponzo.jpg,midas,2,1440,19.27,149.68
---,CATEGORY: DEPTH_AMBIGUITY,---,---,---,---,---
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,1,759,51.32,0.0
depth_ambiguity,cmp_dazzle_camouflage.jpg,midas,1,759,63.79,0.0
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,2,1044,47.76,3.56
depth_ambiguity,cmp_dazzle_camouflage.jpg,midas,2,1044,59.36,4.43
depth_ambiguity,cmp_Eiffel_tower.png,orig,1,1921,154.08,0.0
depth_ambiguity,cmp_Eiffel_tower.png,midas,1,1921,39.53,0.0
depth_ambiguity,cmp_Eiffel_tower.png,orig,2,4392,55.57,98.51
depth_ambiguity,cmp_Eiffel_tower.png,midas,2,4392,205.59,166.06
depth_ambiguity,cmp_necker_cube.jpg,orig,1,1927,255.0,0.0
depth_ambiguity,cmp_necker_cube.jpg,midas,1,1927,52.97,0.0
depth_ambiguity,cmp_necker_cube.jpg,orig,2,4674,255.0,0.0
depth_ambiguity,cmp_necker_cube.jpg,midas,2,4674,116.76,63.79
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,1,5183,210.0,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,midas,1,5183,195.86,0.0
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,2,6930,237.29,27.29
depth_ambiguity,cmp_schroeder_stairs.jpg,midas,2,6930,181.12,14.74
---,CATEGORY: FORCED_PERSPECTIVE,---,---,---,---,---
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,1,5130,75.21,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,midas,1,5130,69.9,0.0
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,2,2652,56.27,18.94
forced_perspective,cmp_Ames_room_forced_perspective.jpg,midas,2,2652,14.29,55.61
forced_perspective,cmp_anamorphic_hole.jpeg,orig,1,2068,158.29,0.0
forced_perspective,cmp_anamorphic_hole.jpeg,midas,1,2068,114.02,0.0
forced_perspective,cmp_anamorphic_hole.jpeg,orig,2,2805,163.58,5.29
forced_perspective,cmp_anamorphic_hole.jpeg,midas,2,2805,98.59,15.43
forced_perspective,cmp_Beuchet_chair.jpg,orig,1,1368,85.14,0.0
forced_perspective,cmp_Beuchet_chair.jpg,midas,1,1368,155.46,0.0
forced_perspective,cmp_Beuchet_chair.jpg,orig,2,520,68.53,16.61
forced_perspective,cmp_Beuchet_chair.jpg,midas,2,520,69.75,85.71
forced_perspective,cmp_Escaping Criticism.jpg,orig,1,2196,126.46,0.0
forced_perspective,cmp_Escaping Criticism.jpg,midas,1,2196,218.45,0.0
forced_perspective,cmp_Escaping Criticism.jpg,orig,2,2016,16.12,110.34
forced_perspective,cmp_Escaping Criticism.jpg,midas,2,2016,163.07,55.38
forced_perspective,cmp_leaned_tower.jpg,orig,1,1386,175.1,0.0
forced_perspective,cmp_leaned_tower.jpg,midas,1,1386,161.45,0.0
forced_perspective,cmp_leaned_tower.jpg,orig,2,465,140.34,34.76
forced_perspective,cmp_leaned_tower.jpg,midas,2,465,35.32,126.13
forced_perspective,cmp_salar_uyuni.jpeg,orig,1,1488,142.17,0.0
forced_perspective,cmp_salar_uyuni.jpeg,midas,1,1488,111.47,0.0
forced_perspective,cmp_salar_uyuni.jpeg,orig,2,928,60.04,82.13
forced_perspective,cmp_salar_uyuni.jpeg,midas,2,928,61.36,50.11
---,CATEGORY: IMPOSSIBLE_OBJECTS,---,---,---,---,---
impossible_objects,cmp_blivet_trident.jpg,orig,1,2542,27.72,0.0
impossible_objects,cmp_blivet_trident.jpg,midas,1,2542,133.45,0.0
impossible_objects,cmp_blivet_trident.jpg,orig,2,1548,0.28,27.44
impossible_objects,cmp_blivet_trident.jpg,midas,2,1548,89.83,43.62
impossible_objects,cmp_escher_cube.png,orig,1,2346,96.55,0.0
impossible_objects,cmp_escher_cube.png,midas,1,2346,225.95,0.0
