category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: CONVERGING_LINES,---,---,---,---,---
converging_lines,cmp_anamorphic_rings.png,orig,1,242,106.55,0.0
converging_lines,cmp_anamorphic_rings.png,midas,1,242,134.83,0.0
converging_lines,cmp_anamorphic_rings.png,orig,2,171,108.85,2.3
converging_lines,cmp_anamorphic_rings.png,midas,2,171,164.52,29.69
converging_lines,cmp_block_alignment.png,orig,1,399,50.15,0.0
converging_lines,cmp_block_alignment.png,midas,1,399,174.06,0.0
converging_lines,cmp_block_alignment.png,orig,2,72,67.21,17.06
converging_lines,cmp_block_alignment.png,midas,2,72,172.54,1.52
converging_lines,cmp_converging_tunnel.png,orig,1,121,105.17,0.0
converging_lines,cmp_converging_tunnel.png,midas,1,121,109.06,0.0
converging_lines,cmp_converging_tunnel.png,orig,2,462,159.56,54.39
converging_lines,cmp_converging_tunnel.png,midas,2,462,82.28,26.78
converging_lines,cmp_converging_tunnel_zoomed.png,orig,1,1050,98.42,0.0
converging_lines,cmp_converging_tunnel_zoomed.png,midas,1,1050,113.11,0.0
converging_lines,cmp_converging_tunnel_zoomed.png,orig,2,3053,145.27,46.85
converging_lines,cmp_converging_tunnel_zoomed.png,midas,2,3053,142.01,28.9
converging_lines,cmp_flat_grid.png,orig,1,270,248.54,0.0
converging_lines,cmp_flat_grid.png,midas,1,270,90.63,0.0
converging_lines,cmp_flat_grid.png,orig,2,4189,162.61,85.93
converging_lines,cmp_flat_grid.png,midas,2,4189,145.2,54.57
converging_lines,cmp_grid_bias.png,orig,1,675,110.05,0.0
converging_lines,cmp_grid_bias.png,midas,1,675,2.37,0.0
converging_lines,cmp_grid_bias.png,orig,2,1595,116.31,6.26
converging_lines,cmp_grid_bias.png,midas,2,1595,44.95,42.58
converging_lines,cmp_grid_bias_smooth.png,orig,1,456,124.12,0.0
converging_lines,cmp_grid_bias_smooth.png,midas,1,456,3.07,0.0
converging_lines,cmp_grid_bias_smooth.png,orig,2,4161,124.76,0.64
converging_lines,cmp_grid_bias_smooth.png,midas,2,4161,54.11,51.04
converging_lines,cmp_grid_pattern.png,orig,1,850,214.56,0.0
converging_lines,cmp_grid_pattern.png,midas,1,850,96.75,0.0
converging_lines,cmp_grid_pattern.png,orig,2,896,200.0,14.56
converging_lines,cmp_grid_pattern.png,midas,2,896,15.94,80.81
converging_lines,cmp_grid_patter_offset.png,orig,1,5548,231.04,0.0
converging_lines,cmp_grid_patter_offset.png,midas,1,5548,113.82,0.0
converging_lines,cmp_grid_patter_offset.png,orig,2,3024,223.84,7.2
converging_lines,cmp_grid_patter_offset.png,midas,2,3024,107.64,6.18
converging_lines,cmp_grid_torch.png,orig,1,495,110.39,0.0
converging_lines,cmp_grid_torch.png,midas,1,495,5.34,0.0
converging_lines,cmp_grid_torch.png,orig,2,55266,109.03,1.36
converging_lines,cmp_grid_torch.png,midas,2,55266,165.76,160.42
converging_lines,cmp_hallway.jpg,orig,1,1221,47.36,0.0
converging_lines,cmp_hallway.jpg,midas,1,1221,0.13,0.0
converging_lines,cmp_hallway.jpg,orig,2,7216,57.64,10.28
converging_lines,cmp_hallway.jpg,midas,2,7216,76.18,76.05
converging_lines,cmp_infinite_grid.png,orig,1,493,169.78,0.0
converging_lines,cmp_infinite_grid.png,midas,1,493,29.67,0.0
converging_lines,cmp_infinite_grid.png,orig,2,4221,181.86,12.08
converging_lines,cmp_infinite_grid.png,midas,2,4221,27.91,1.76
converging_lines,cmp_TOP_BOTTOM_bias.png,orig,1,2438,156.21,0.0
converging_lines,cmp_TOP_BOTTOM_bias.png,midas,1,2438,63.6,0.0
converging_lines,cmp_TOP_BOTTOM_bias.png,orig,2,980,161.71,5.5
converging_lines,cmp_TOP_BOTTOM_bias.png,midas,2,980,9.41,54.19
---,CATEGORY: DEPTH_AMBIGUITY,---,---,---,---,---
depth_ambiguity,cmp_neckers_cube.png,orig,1,361,118.25,0.0
depth_ambiguity,cmp_neckers_cube.png,midas,1,361,222.59,0.0
depth_ambiguity,cmp_neckers_cube.png,orig,2,660,108.29,9.96
depth_ambiguity,cmp_neckers_cube.png,midas,2,660,147.22,75.37
depth_ambiguity,cmp_rubins_vase.png,orig,1,2250,5.12,0.0
depth_ambiguity,cmp_rubins_vase.png,midas,1,2250,82.21,0.0
depth_ambiguity,cmp_rubins_vase.png,orig,2,3304,148.7,143.58
depth_ambiguity,cmp_rubins_vase.png,midas,2,3304,26.14,56.07
depth_ambiguity,cmp_schroeder_stairs.png,orig,1,638,166.05,0.0
depth_ambiguity,cmp_schroeder_stairs.png,midas,1,638,54.79,0.0
depth_ambiguity,cmp_schroeder_stairs.png,orig,2,450,124.48,41.57
depth_ambiguity,cmp_schroeder_stairs.png,midas,2,450,50.72,4.07
depth_ambiguity,cmp_schroeder_stairs_lantern.png,orig,1,672,166.09,0.0
depth_ambiguity,cmp_schroeder_stairs_lantern.png,midas,1,672,30.49,0.0
depth_ambiguity,cmp_schroeder_stairs_lantern.png,orig,2,675,124.44,41.65
depth_ambiguity,cmp_schroeder_stairs_lantern.png,midas,2,675,11.13,19.36
depth_ambiguity,cmp_schroeder_stairs_rotated.png,orig,1,667,166.1,0.0
depth_ambiguity,cmp_schroeder_stairs_rotated.png,midas,1,667,106.15,0.0
depth_ambiguity,cmp_schroeder_stairs_rotated.png,orig,2,1148,138.85,27.25
depth_ambiguity,cmp_schroeder_stairs_rotated.png,midas,2,1148,90.62,15.53
---,CATEGORY: FORCED_PERSPECTIVE,---,---,---,---,---
forced_perspective,cmp_anamorphic_cube.png,orig,1,2040,79.67,0.0
forced_perspective,cmp_anamorphic_cube.png,midas,1,2040,173.23,0.0
forced_perspective,cmp_anamorphic_cube.png,orig,2,782,98.54,18.87
forced_perspective,cmp_anamorphic_cube.png,midas,2,782,160.16,13.07
forced_perspective,cmp_depth_incongruence.png,orig,1,1537,38.32,0.0
forced_perspective,cmp_depth_incongruence.png,midas,1,1537,71.9,0.0
forced_perspective,cmp_depth_incongruence.png,orig,2,2014,38.46,0.14
forced_perspective,cmp_depth_incongruence.png,midas,2,2014,65.15,6.75
forced_perspective,cmp_fake_block.png,orig,1,2200,27.22,0.0
forced_perspective,cmp_fake_block.png,midas,1,2200,24.17,0.0
forced_perspective,cmp_fake_block.png,orig,2,5852,164.66,137.44
forced_perspective,cmp_fake_block.png,midas,2,5852,28.09,3.92
---,CATEGORY: IMPOSSIBLE_OBJECTS,---,---,---,---,---
impossible_objects,cmp_blivet_trident.png,orig,1,1148,73.23,0.0
impossible_objects,cmp_blivet_trident.png,midas,1,1148,185.9,0.0
impossible_objects,cmp_blivet_trident.png,orig,2,1320,64.43,8.8
impossible_objects,cmp_blivet_trident.png,midas,2,1320,147.41,38.49
impossible_objects,cmp_escher_cube.png,orig,1,460,119.7,0.0
impossible_objects,cmp_escher_cube.png,midas,1,460,191.82,0.0
impossible_objects,cmp_escher_cube.png,orig,2,608,108.08,11.62
impossible_objects,cmp_escher_cube.png,midas,2,608,174.22,17.6
impossible_objects,cmp_escher_waterfall.png,orig,1,621,60.84,0.0
impossible_objects,cmp_escher_waterfall.png,midas,1,621,181.49,0.0
impossible_objects,cmp_escher_waterfall.png,orig,2,594,84.22,23.38
impossible_objects,cmp_escher_waterfall.png,midas,2,594,103.19,78.3
impossible_objects,cmp_escher_waterfall_2.png,orig,1,725,58.63,0.0
impossible_objects,cmp_escher_waterfall_2.png,midas,1,725,107.8,0.0
impossible_objects,cmp_escher_waterfall_2.png,orig,2,551,87.25,28.62
impossible_objects,cmp_escher_waterfall_2.png,midas,2,551,131.97,24.17
impossible_objects,cmp_escher_waterfall_3.png,orig,1,308,83.49,0.0
impossible_objects,cmp_escher_waterfall_3.png,midas,1,308,129.54,0.0
impossible_objects,cmp_escher_waterfall_3.png,orig,2,896,77.35,6.14
impossible_objects,cmp_escher_waterfall_3.png,midas,2,896,159.33,29.79
impossible_objects,cmp_penrose_stairs.png,orig,1,2064,81.66,0.0
impossible_objects,cmp_penrose_stairs.png,midas,1,2064,151.07,0.0
impossible_objects,cmp_penrose_stairs.png,orig,2,1911,81.64,0.02
impossible_objects,cmp_penrose_stairs.png,midas,2,1911,198.33,47.26
impossible_objects,cmp_penrose_triangle.png,orig,1,154,206.26,0.0
impossible_objects,cmp_penrose_triangle.png,midas,1,154,93.38,0.0
impossible_objects,cmp_penrose_triangle.png,orig,2,169,138.04,68.22
impossible_objects,cmp_penrose_triangle.png,midas,2,169,121.47,28.09
impossible_objects,cmp_penrose_triangle_adapted.png,orig,1,196,176.06,0.0
impossible_objects,cmp_penrose_triangle_adapted.png,midas,1,196,58.64,0.0
impossible_objects,cmp_penrose_triangle_adapted.png,orig,2,345,163.54,12.52
impossible_objects,cmp_penrose_triangle_adapted.png,midas,2,345,48.43,10.21
impossible_objects,cmp_penrose_triangle_zoomed.png,orig,1,1968,207.82,0.0
impossible_objects,cmp_penrose_triangle_zoomed.png,midas,1,1968,92.54,0.0
impossible_objects,cmp_penrose_triangle_zoomed.png,orig,2,1776,166.17,41.65
impossible_objects,cmp_penrose_triangle_zoomed.png,midas,2,1776,187.25,94.71
---,CATEGORY: SHADING,---,---,---,---,---
shading,cmp_concave_convex_cube.png,orig,1,1088,169.34,0.0
shading,cmp_concave_convex_cube.png,midas,1,1088,105.79,0.0
shading,cmp_concave_convex_cube.png,orig,2,1344,166.13,3.21
shading,cmp_concave_convex_cube.png,midas,2,1344,6.15,99.64
shading,cmp_concave_convex_cube_zoomed.png,orig,1,14672,180.31,0.0
shading,cmp_concave_convex_cube_zoomed.png,midas,1,14672,83.19,0.0
shading,cmp_concave_convex_cube_zoomed.png,orig,2,20000,166.26,14.05
shading,cmp_concave_convex_cube_zoomed.png,midas,2,20000,78.68,4.51
shading,cmp_concave_convex_furnace.png,orig,1,2193,99.39,0.0
shading,cmp_concave_convex_furnace.png,midas,1,2193,48.63,0.0
shading,cmp_concave_convex_furnace.png,orig,2,3900,166.18,66.79
shading,cmp_concave_convex_furnace.png,midas,2,3900,11.2,37.43
shading,cmp_concave_convex_furnace_zoomed.png,orig,1,12144,109.12,0.0
shading,cmp_concave_convex_furnace_zoomed.png,midas,1,12144,190.8,0.0
shading,cmp_concave_convex_furnace_zoomed.png,orig,2,17108,166.3,57.18
shading,cmp_concave_convex_furnace_zoomed.png,midas,2,17108,63.24,127.56
shading,cmp_dragon.png,orig,1,1368,124.96,0.0
shading,cmp_dragon.png,midas,1,1368,3.06,0.0
shading,cmp_dragon.png,orig,2,1008,116.42,8.54
shading,cmp_dragon.png,midas,2,1008,5.0,1.94
shading,cmp_dragon_zoom.png,orig,1,17460,123.09,0.0
shading,cmp_dragon_zoom.png,midas,1,17460,64.33,0.0
shading,cmp_dragon_zoom.png,orig,2,16688,122.6,0.49
shading,cmp_dragon_zoom.png,midas,2,16688,66.74,2.41
shading,cmp_ladder.png,orig,1,5576,129.41,0.0
shading,cmp_ladder.png,midas,1,5576,78.6,0.0
shading,cmp_ladder.png,orig,2,2832,223.5,94.09
shading,cmp_ladder.png,midas,2,2832,42.6,36.0
shading,cmp_zebra_crossing.png,orig,1,2759,133.92,0.0
shading,cmp_zebra_crossing.png,midas,1,2759,141.54,0.0
shading,cmp_zebra_crossing.png,orig,2,1904,67.65,66.27
shading,cmp_zebra_crossing.png,midas,2,1904,147.96,6.42
