category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: ANGLE,---,---,---,---,---
angle,cmp_angle_000.png,orig,1,999,120.78,0.0
angle,cmp_angle_000.png,midas,1,999,143.02,0.0
angle,cmp_angle_000.png,orig,2,1848,128.0,7.22
angle,cmp_angle_000.png,midas,2,1848,35.23,107.79
angle,cmp_angle_012.png,orig,1,1088,125.55,0.0
angle,cmp_angle_012.png,midas,1,1088,123.95,0.0
angle,cmp_angle_012.png,orig,2,1369,128.0,2.45
angle,cmp_angle_012.png,midas,2,1369,54.74,69.21
angle,cmp_angle_024.png,orig,1,736,127.56,0.0
angle,cmp_angle_024.png,midas,1,736,79.8,0.0
angle,cmp_angle_024.png,orig,2,1320,128.0,0.44
angle,cmp_angle_024.png,midas,2,1320,48.04,31.76
angle,cmp_angle_036.png,orig,1,832,128.94,0.0
angle,cmp_angle_036.png,midas,1,832,60.51,0.0
angle,cmp_angle_036.png,orig,2,1517,128.0,0.94
angle,cmp_angle_036.png,midas,2,1517,36.36,24.15
angle,cmp_angle_048.png,orig,1,1190,120.56,0.0
angle,cmp_angle_048.png,midas,1,1190,38.88,0.0
angle,cmp_angle_048.png,orig,2,999,128.0,7.44
angle,cmp_angle_048.png,midas,2,999,31.13,7.75
angle,cmp_angle_060.png,orig,1,1204,119.76,0.0
angle,cmp_angle_060.png,midas,1,1204,32.0,0.0
angle,cmp_angle_060.png,orig,2,1218,128.0,8.24
angle,cmp_angle_060.png,midas,2,1218,36.62,4.62
angle,cmp_angle_072.png,orig,1,1419,123.64,0.0
angle,cmp_angle_072.png,midas,1,1419,22.93,0.0
angle,cmp_angle_072.png,orig,2,1292,128.0,4.36
angle,cmp_angle_072.png,midas,2,1292,41.04,18.11
angle,cmp_angle_084.png,orig,1,1178,123.45,0.0
angle,cmp_angle_084.png,midas,1,1178,27.81,0.0
angle,cmp_angle_084.png,orig,2,1440,128.0,4.55
angle,cmp_angle_084.png,midas,2,1440,48.14,20.33
angle,cmp_angle_096.png,orig,1,1995,126.16,0.0
angle,cmp_angle_096.png,midas,1,1995,28.8,0.0
angle,cmp_angle_096.png,orig,2,1344,128.0,1.84
angle,cmp_angle_096.png,midas,2,1344,58.54,29.74
angle,cmp_angle_108.png,orig,1,1518,128.09,0.0
angle,cmp_angle_108.png,midas,1,1518,31.51,0.0
angle,cmp_angle_108.png,orig,2,1855,128.0,0.09
angle,cmp_angle_108.png,midas,2,1855,60.43,28.92
angle,cmp_angle_120.png,orig,1,1517,125.5,0.0
angle,cmp_angle_120.png,midas,1,1517,27.75,0.0
angle,cmp_angle_120.png,orig,2,1020,128.0,2.5
angle,cmp_angle_120.png,midas,2,1020,65.63,37.88
angle,cmp_angle_132.png,orig,1,1612,130.31,0.0
angle,cmp_angle_132.png,midas,1,1612,42.97,0.0
angle,cmp_angle_132.png,orig,2,962,128.0,2.31
angle,cmp_angle_132.png,midas,2,962,62.1,19.13
angle,cmp_angle_144.png,orig,1,1400,124.79,0.0
angle,cmp_angle_144.png,midas,1,1400,100.61,0.0
