category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: CORRIDOR_ILLUSION,---,---,---,---,---
corridor_illusion,cmp_base_image.png,orig,1,5063,174.06,0.0
corridor_illusion,cmp_base_image.png,midas,1,5063,156.37,0.0
corridor_illusion,cmp_base_image.png,orig,2,2795,166.39,7.67
corridor_illusion,cmp_base_image.png,midas,2,2795,47.94,108.43
corridor_illusion,cmp_cube_walls.jpg,orig,1,5146,169.78,0.0
corridor_illusion,cmp_cube_walls.jpg,midas,1,5146,193.63,0.0
corridor_illusion,cmp_cube_walls.jpg,orig,2,3024,164.21,5.57
corridor_illusion,cmp_cube_walls.jpg,midas,2,3024,41.58,152.05
corridor_illusion,cmp_cylinder_pattern.png,orig,1,3432,133.97,0.0
corridor_illusion,cmp_cylinder_pattern.png,midas,1,3432,124.27,0.0
corridor_illusion,cmp_cylinder_pattern.png,orig,2,3621,129.73,4.24
corridor_illusion,cmp_cylinder_pattern.png,midas,2,3621,41.68,82.59
corridor_illusion,cmp_cylinder_pattern_bordered.png,orig,1,6030,134.71,0.0
corridor_illusion,cmp_cylinder_pattern_bordered.png,midas,1,6030,133.48,0.0
corridor_illusion,cmp_cylinder_pattern_bordered.png,orig,2,6100,131.9,2.81
corridor_illusion,cmp_cylinder_pattern_bordered.png,midas,2,6100,45.04,88.44
corridor_illusion,cmp_high-low_filter.png,orig,1,10488,242.25,0.0
corridor_illusion,cmp_high-low_filter.png,midas,1,10488,104.66,0.0
corridor_illusion,cmp_high-low_filter.png,orig,2,10283,202.91,39.34
corridor_illusion,cmp_high-low_filter.png,midas,2,10283,27.5,77.16
corridor_illusion,cmp_high_pass.png,orig,1,6596,253.0,0.0
corridor_illusion,cmp_high_pass.png,midas,1,6596,158.71,0.0
corridor_illusion,cmp_high_pass.png,orig,2,6270,254.9,1.9
corridor_illusion,cmp_high_pass.png,midas,2,6270,83.22,75.49
corridor_illusion,cmp_low_pass.png,orig,1,7210,158.72,0.0
corridor_illusion,cmp_low_pass.png,midas,1,7210,127.75,0.0
corridor_illusion,cmp_low_pass.png,orig,2,7107,162.08,3.36
corridor_illusion,cmp_low_pass.png,midas,2,7107,34.04,93.71
corridor_illusion,cmp_minecraft_version.png,orig,1,4494,65.88,0.0
corridor_illusion,cmp_minecraft_version.png,midas,1,4494,37.09,0.0
corridor_illusion,cmp_minecraft_version.png,orig,2,5586,64.09,1.79
corridor_illusion,cmp_minecraft_version.png,midas,2,5586,6.2,30.89
corridor_illusion,cmp_no_cyllinders.png,orig,1,5133,126.94,0.0
corridor_illusion,cmp_no_cyllinders.png,midas,1,5133,131.11,0.0
corridor_illusion,cmp_no_cyllinders.png,orig,2,3363,126.83,0.11
corridor_illusion,cmp_no_cyllinders.png,midas,2,3363,77.26,53.85
corridor_illusion,cmp_no_walls.png,orig,1,8064,169.62,0.0
corridor_illusion,cmp_no_walls.png,midas,1,8064,192.84,0.0
corridor_illusion,cmp_no_walls.png,orig,2,7644,173.53,3.91
corridor_illusion,cmp_no_walls.png,midas,2,7644,93.91,98.93
corridor_illusion,cmp_only_cylinders.png,orig,1,6750,172.37,0.0
corridor_illusion,cmp_only_cylinders.png,midas,1,6750,226.25,0.0
corridor_illusion,cmp_only_cylinders.png,orig,2,6014,174.05,1.68
corridor_illusion,cmp_only_cylinders.png,midas,2,6014,154.81,71.44
corridor_illusion,cmp_shepard_illusion.jpg,orig,1,6975,165.92,0.0
corridor_illusion,cmp_shepard_illusion.jpg,midas,1,6975,74.28,0.0
corridor_illusion,cmp_shepard_illusion.jpg,orig,2,5925,143.67,22.25
corridor_illusion,cmp_shepard_illusion.jpg,midas,2,5925,213.83,139.55
corridor_illusion,cmp_size_prior.jpg,orig,1,6912,158.27,0.0
corridor_illusion,cmp_size_prior.jpg,midas,1,6912,148.65,0.0
corridor_illusion,cmp_size_prior.jpg,orig,2,1075,156.09,2.18
corridor_illusion,cmp_size_prior.jpg,midas,2,1075,41.48,107.17
corridor_illusion,cmp_size_prior.jpg,orig,3,2173,57.5,0.0
corridor_illusion,cmp_size_prior.jpg,midas,3,2173,158.61,0.0
corridor_illusion,cmp_size_prior.jpg,orig,4,725,92.17,34.67
corridor_illusion,cmp_size_prior.jpg,midas,4,725,35.79,122.82
corridor_illusion,cmp_solid.png,orig,1,5760,148.51,0.0
corridor_illusion,cmp_solid.png,midas,1,5760,99.88,0.0
corridor_illusion,cmp_solid.png,orig,2,5800,149.92,1.41
corridor_illusion,cmp_solid.png,midas,2,5800,34.98,64.9
corridor_illusion,cmp_solid_bordered.png,orig,1,7505,170.96,0.0
corridor_illusion,cmp_solid_bordered.png,midas,1,7505,110.66,0.0
corridor_illusion,cmp_solid_bordered.png,orig,2,6319,170.95,0.01
corridor_illusion,cmp_solid_bordered.png,midas,2,6319,43.75,66.91
corridor_illusion,cmp_warped.png,orig,1,6399,182.35,0.0
corridor_illusion,cmp_warped.png,midas,1,6399,165.11,0.0
corridor_illusion,cmp_warped.png,orig,2,5896,176.16,6.19
corridor_illusion,cmp_warped.png,midas,2,5896,117.33,47.78
corridor_illusion,cmp_warped.png,orig,3,3717,173.35,0.0
corridor_illusion,cmp_warped.png,midas,3,3717,181.07,0.0
corridor_illusion,cmp_warped.png,orig,4,4818,176.37,3.02
corridor_illusion,cmp_warped.png,midas,4,4818,172.68,8.39
