category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
---,CATEGORY: AERIAL_PERSPECTIVE,---,---,---,---,---
aerial_perspective,cmp_contrast_000.png,orig,1,1428,0.0,0.0
aerial_perspective,cmp_contrast_000.png,v1,1,1428,150.58,0.0
aerial_perspective,cmp_contrast_000.png,v2,1,1428,0.0,0.0
aerial_perspective,cmp_contrast_000.png,v3,1,1428,54.98,0.0
aerial_perspective,cmp_contrast_000.png,orig,2,2223,240.0,240.0
aerial_perspective,cmp_contrast_000.png,v1,2,2223,150.55,0.03
aerial_perspective,cmp_contrast_000.png,v2,2,2223,2.73,2.73
aerial_perspective,cmp_contrast_000.png,v3,2,2223,142.41,87.43
aerial_perspective,cmp_contrast_008.png,orig,1,529,8.0,0.0
aerial_perspective,cmp_contrast_008.png,v1,1,529,152.23,0.0
aerial_perspective,cmp_contrast_008.png,v2,1,529,0.0,0.0
aerial_perspective,cmp_contrast_008.png,v3,1,529,73.85,0.0
aerial_perspective,cmp_contrast_008.png,orig,2,621,240.0,232.0
aerial_perspective,cmp_contrast_008.png,v1,2,621,150.39,1.84
aerial_perspective,cmp_contrast_008.png,v2,2,621,1.82,1.82
aerial_perspective,cmp_contrast_008.png,v3,2,621,151.27,77.42
aerial_perspective,cmp_contrast_016.png,orig,1,1802,16.0,0.0
aerial_perspective,cmp_contrast_016.png,v1,1,1802,153.16,0.0
aerial_perspective,cmp_contrast_016.png,v2,1,1802,0.0,0.0
aerial_perspective,cmp_contrast_016.png,v3,1,1802,54.05,0.0
aerial_perspective,cmp_contrast_016.png,orig,2,1216,240.0,224.0
aerial_perspective,cmp_contrast_016.png,v1,2,1216,150.42,2.74
aerial_perspective,cmp_contrast_016.png,v2,2,1216,2.51,2.51
aerial_perspective,cmp_contrast_016.png,v3,2,1216,106.16,52.11
aerial_perspective,cmp_contrast_024.png,orig,1,459,24.0,0.0
aerial_perspective,cmp_contrast_024.png,v1,1,459,151.34,0.0
aerial_perspective,cmp_contrast_024.png,v2,1,459,0.0,0.0
aerial_perspective,cmp_contrast_024.png,v3,1,459,53.98,0.0
aerial_perspective,cmp_contrast_024.png,orig,2,756,240.0,216.0
