Category,Image_Base,Model,Point_ID,X,Y,Intensity
converging,cmp_figure_ground.png,V1,1,378,540,254
converging,cmp_figure_ground.png,V1,2,571,557,0
converging,cmp_figure_ground.png,1,382,539,254
converging,cmp_figure_ground.png,2,567,532,0
converging,cmp_figure_ground.png,3,1382,550,153
converging,cmp_figure_ground.png,4,1572,539,29
converging,cmp_figure_ground.png,5,2369,527,143
converging,cmp_figure_ground.png,6,2540,527,0
converging,cmp_figure_ground.png,7,3370,553,48
converging,cmp_figure_ground.png,8,3550,560,65
converging,cmp_kanizsa_triangle.png,1,434,619,255
converging,cmp_kanizsa_triangle.png,2,434,265,9
converging,cmp_kanizsa_triangle.png,3,1092,853,204
converging,cmp_kanizsa_triangle.png,4,1456,289,68
converging,cmp_kanizsa_triangle.png,5,2109,846,207
converging,cmp_kanizsa_triangle.png,6,2430,277,159
converging,cmp_kanizsa_triangle.png,7,3163,790,168
converging,cmp_kanizsa_triangle.png,8,3428,289,215
depth_ambiguity,cmp_Eiffel_tower.png,1,175,711,154
depth_ambiguity,cmp_Eiffel_tower.png,2,403,570,34
depth_ambiguity,cmp_Eiffel_tower.png,3,1133,705,14
depth_ambiguity,cmp_Eiffel_tower.png,4,1369,562,149
depth_ambiguity,cmp_Eiffel_tower.png,5,2096,672,33
depth_ambiguity,cmp_Eiffel_tower.png,6,2318,553,83
depth_ambiguity,cmp_Eiffel_tower.png,7,3051,811,22
depth_ambiguity,cmp_Eiffel_tower.png,8,3266,573,219
impossible_objects,cmp_escher_cube.png,1,330,489,153
impossible_objects,cmp_escher_cube.png,2,466,520,89
impossible_objects,cmp_escher_cube.png,3,1297,578,197
impossible_objects,cmp_escher_cube.png,4,1461,536,47
impossible_objects,cmp_escher_cube.png,5,2290,580,211
impossible_objects,cmp_escher_cube.png,6,2454,548,32
impossible_objects,cmp_escher_cube.png,7,3302,571,234
impossible_objects,cmp_escher_cube.png,8,3445,543,7
shading,cmp_coloured_circles_akiyoshi.png,1,416,576,12
shading,cmp_coloured_circles_akiyoshi.png,2,616,547,9
shading,cmp_coloured_circles_akiyoshi.png,3,1430,611,99
shading,cmp_coloured_circles_akiyoshi.png,4,1583,602,122
shading,cmp_coloured_circles_akiyoshi.png,5,2463,597,0
shading,cmp_coloured_circles_akiyoshi.png,6,2694,583,29
shading,cmp_coloured_circles_akiyoshi.png,7,3428,595,128
shading,cmp_coloured_circles_akiyoshi.png,8,3592,573,104
converging,cmp_corridor_illusion.jpg,V1,1,431,603,180
converging,cmp_corridor_illusion.jpg,V2,1,1700,603,80
converging,cmp_corridor_illusion.jpg,V3,1,2969,603,255
converging,cmp_figure_ground.png,V1,1,386,600,254
converging,cmp_figure_ground.png,V2,1,1636,600,26
converging,cmp_figure_ground.png,V3,1,2886,600,255
converging,cmp_figure_ground.png,V1,2,579,590,0
converging,cmp_figure_ground.png,V2,2,1829,590,255
converging,cmp_figure_ground.png,V3,2,3079,590,133
converging,cmp_corridor_illusion.jpg,orig,1,431,615,180
converging,cmp_corridor_illusion.jpg,v1,1,1427,615,55
converging,cmp_corridor_illusion.jpg,v2,1,2423,615,39
converging,cmp_corridor_illusion.jpg,v3,1,3419,615,111
converging,cmp_corridor_illusion.jpg,orig,2,467,831,176
converging,cmp_corridor_illusion.jpg,v1,2,1463,831,167
converging,cmp_corridor_illusion.jpg,v2,2,2459,831,168
converging,cmp_corridor_illusion.jpg,v3,2,3455,831,224
converging,cmp_corridor_illusion.jpg,orig,1,427,609,176
converging,cmp_corridor_illusion.jpg,v1,1,1427,609,55
converging,cmp_corridor_illusion.jpg,v2,1,2427,609,39
converging,cmp_corridor_illusion.jpg,v3,1,3427,609,110
converging,cmp_corridor_illusion.jpg,orig,2,465,825,174
converging,cmp_corridor_illusion.jpg,v1,2,1465,825,167
converging,cmp_corridor_illusion.jpg,v2,2,2465,825,169
converging,cmp_corridor_illusion.jpg,v3,2,3465,825,224
converging,cmp_figure_ground.png,orig,1,391,575,254
converging,cmp_figure_ground.png,v1,1,1376,575,147
converging,cmp_figure_ground.png,v2,1,2361,575,124
converging,cmp_figure_ground.png,v3,1,3346,575,40
converging,cmp_figure_ground.png,orig,2,560,556,0
converging,cmp_figure_ground.png,v1,2,1545,556,35
converging,cmp_figure_ground.png,v2,2,2530,556,0
converging,cmp_figure_ground.png,v3,2,3515,556,55
converging,cmp_kanizsa_triangle.png,orig,1,126,846,9
converging,cmp_kanizsa_triangle.png,v1,1,1139,846,224
converging,cmp_kanizsa_triangle.png,v2,1,2152,846,215
converging,cmp_kanizsa_triangle.png,v3,1,3165,846,185
converging,cmp_kanizsa_triangle.png,orig,2,447,293,9
converging,cmp_kanizsa_triangle.png,v1,2,1460,293,68
converging,cmp_kanizsa_triangle.png,v2,2,2473,293,151
converging,cmp_kanizsa_triangle.png,v3,2,3486,293,222
converging,cmp_kanizsa_triangle.png,orig,3,413,643,255
converging,cmp_kanizsa_triangle.png,v1,3,1426,643,97
converging,cmp_kanizsa_triangle.png,v2,3,2439,643,24
converging,cmp_kanizsa_triangle.png,v3,3,3452,643,140
converging,cmp_ponzo.jpg,orig,1,515,857,201
converging,cmp_ponzo.jpg,v1,1,1560,857,197
converging,cmp_ponzo.jpg,v2,1,2605,857,198
converging,cmp_ponzo.jpg,v3,1,3650,857,221
converging,cmp_ponzo.jpg,orig,2,508,289,221
converging,cmp_ponzo.jpg,v1,2,1553,289,25
converging,cmp_ponzo.jpg,v2,2,2598,289,27
converging,cmp_ponzo.jpg,v3,2,3643,289,87
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,1,535,641,69
depth_ambiguity,cmp_dazzle_camouflage.jpg,v1,1,1580,641,86
depth_ambiguity,cmp_dazzle_camouflage.jpg,v2,1,2625,641,105
depth_ambiguity,cmp_dazzle_camouflage.jpg,v3,1,3670,641,210
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,2,165,561,21
depth_ambiguity,cmp_dazzle_camouflage.jpg,v1,2,1210,561,46
depth_ambiguity,cmp_dazzle_camouflage.jpg,v2,2,2255,561,81
depth_ambiguity,cmp_dazzle_camouflage.jpg,v3,2,3300,561,187
converging,cmp_corridor_illusion.jpg,orig,1,429,615,179
converging,cmp_corridor_illusion.jpg,v1,1,1421,615,55
converging,cmp_corridor_illusion.jpg,v2,1,2413,615,39
converging,cmp_corridor_illusion.jpg,v3,1,3405,615,111
converging,cmp_corridor_illusion.jpg,orig,2,459,831,169
converging,cmp_corridor_illusion.jpg,v1,2,1451,831,166
converging,cmp_corridor_illusion.jpg,v2,2,2443,831,169
converging,cmp_corridor_illusion.jpg,v3,2,3435,831,224
converging,cmp_figure_ground.png,orig,1,385,587,254
converging,cmp_figure_ground.png,v1,1,1377,587,146
converging,cmp_figure_ground.png,v2,1,2369,587,124
converging,cmp_figure_ground.png,v3,1,3361,587,41
converging,cmp_figure_ground.png,orig,2,556,570,0
converging,cmp_figure_ground.png,v1,2,1548,570,36
converging,cmp_figure_ground.png,v2,2,2540,570,1
converging,cmp_figure_ground.png,v3,2,3532,570,60
converging,cmp_kanizsa_triangle.png,orig,1,115,829,9
converging,cmp_kanizsa_triangle.png,v1,1,539,829,255
converging,cmp_kanizsa_triangle.png,v2,1,963,829,255
converging,cmp_kanizsa_triangle.png,v3,1,1387,829,137
converging,cmp_ponzo.jpg,orig,1,495,853,194
converging,cmp_ponzo.jpg,v1,1,1488,853,190
converging,cmp_ponzo.jpg,v2,1,2481,853,192
converging,cmp_ponzo.jpg,v3,1,3474,853,217
converging,cmp_ponzo.jpg,orig,2,499,287,208
converging,cmp_ponzo.jpg,v1,2,1492,287,25
converging,cmp_ponzo.jpg,v2,2,2485,287,26
converging,cmp_ponzo.jpg,v3,2,3478,287,73
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,1,504,610,79
depth_ambiguity,cmp_dazzle_camouflage.jpg,v1,1,1496,610,85
depth_ambiguity,cmp_dazzle_camouflage.jpg,v2,1,2488,610,103
depth_ambiguity,cmp_dazzle_camouflage.jpg,v3,1,3480,610,205
depth_ambiguity,cmp_dazzle_camouflage.jpg,orig,2,145,541,51
depth_ambiguity,cmp_dazzle_camouflage.jpg,v1,2,1137,541,31
depth_ambiguity,cmp_dazzle_camouflage.jpg,v2,2,2129,541,59
depth_ambiguity,cmp_dazzle_camouflage.jpg,v3,2,3121,541,154
depth_ambiguity,cmp_Eiffel_tower.png,orig,1,177,754,116
depth_ambiguity,cmp_Eiffel_tower.png,v1,1,1140,754,16
depth_ambiguity,cmp_Eiffel_tower.png,v2,1,2103,754,34
depth_ambiguity,cmp_Eiffel_tower.png,v3,1,3066,754,59
depth_ambiguity,cmp_Eiffel_tower.png,orig,2,399,717,75
depth_ambiguity,cmp_Eiffel_tower.png,v1,2,1362,717,145
depth_ambiguity,cmp_Eiffel_tower.png,v2,2,2325,717,88
depth_ambiguity,cmp_Eiffel_tower.png,v3,2,3288,717,220
depth_ambiguity,cmp_Eiffel_tower.png,orig,3,449,727,54
depth_ambiguity,cmp_Eiffel_tower.png,v1,3,1412,727,160
depth_ambiguity,cmp_Eiffel_tower.png,v2,3,2375,727,95
depth_ambiguity,cmp_Eiffel_tower.png,v3,3,3338,727,226
depth_ambiguity,cmp_necker_cube.jpg,orig,1,287,592,255
depth_ambiguity,cmp_necker_cube.jpg,v1,1,1278,592,186
depth_ambiguity,cmp_necker_cube.jpg,v2,1,2269,592,17
depth_ambiguity,cmp_necker_cube.jpg,v3,1,3260,592,105
depth_ambiguity,cmp_necker_cube.jpg,orig,2,402,573,255
depth_ambiguity,cmp_necker_cube.jpg,v1,2,1393,573,151
depth_ambiguity,cmp_necker_cube.jpg,v2,2,2384,573,2
depth_ambiguity,cmp_necker_cube.jpg,v3,2,3375,573,104
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,1,393,687,212
depth_ambiguity,cmp_schroeder_stairs.jpg,v1,1,1391,687,211
depth_ambiguity,cmp_schroeder_stairs.jpg,v2,1,2389,687,222
depth_ambiguity,cmp_schroeder_stairs.jpg,v3,1,3387,687,231
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,2,490,574,255
depth_ambiguity,cmp_schroeder_stairs.jpg,v1,2,1488,574,152
depth_ambiguity,cmp_schroeder_stairs.jpg,v2,2,2486,574,122
depth_ambiguity,cmp_schroeder_stairs.jpg,v3,2,3484,574,183
depth_ambiguity,cmp_schroeder_stairs.jpg,orig,3,667,455,210
depth_ambiguity,cmp_schroeder_stairs.jpg,v1,3,1665,455,110
depth_ambiguity,cmp_schroeder_stairs.jpg,v2,3,2663,455,91
depth_ambiguity,cmp_schroeder_stairs.jpg,v3,3,3661,455,184
depth_ambiguity,cmp_sun_silhouette.jpeg,orig,1,421,536,246
depth_ambiguity,cmp_sun_silhouette.jpeg,v1,1,1372,536,13
